Variables y definiciones;Descripción;;;;;;;;;;
id_siniestro;Identificador unico del siniestro;;;;;;;;;;
numero_total_de_victimas;Cantidad de víctimas totales;;;;;;;;;;
numero_victimas_leve_siniestro;Cantidad de víctimas leves;;;;;;;;;;
numero_victimas_grave_siniestro;Cantidad de víctimas graves;;;;;;;;;;
numero_victimas_mortal_siniestro;Cantidad de víctimas mortales;;;;;;;;;;
fecha_siniestro;Fecha en formato aaaa-mm-dd;;;;;;;;;;
anio_siniestro;Ańo;;;;;;;;;;
mes_siniestro;Mes;;;;;;;;;;
dia_siniestro;Día del mes;;;;;;;;;;
hora_siniestro;Hora del siniestro;;;;;;;;;;
rango_horario;Franja horaria entera;;;;;;;;;;
direccion_normalizada_siniestro;Dirección en formato normalizado GCBA;;;;;;;;;;
comuna_siniestro;Comuna de la ciudad (1 a 15);;;;;;;;;;
tipo_de_via_siniestro;Tipo de arteria. En el caso de intersecciones a nivel se clasifica según la de mayor jerarquía;;;;;;;;;;
geocodificacion_plana;Coordenadas planas en el sistema de coordenadas Gauss-Krüger CABA 2019;;;;;;;;;;
longitud_siniestro;Longitud geográfica WGS84;;;;;;;;;;
latitud_siniestro;Latitud geográfica WGS84;;;;;;;;;;
participantes_siniestro;Conjunción de los modos de desplazamiento de victima y contraparte;;;;;;;;;;
modo_desplazamiento_victima;Vehículo que ocupaba quien haya fallecido a se haya lastimado a raíz del hecho, o bien peatón/a.;;;;;;;;;;
contraparte_siniestro;Vehículo que ocupaba quien resultó acusado/a del hecho, sin implicar culpabilidad legal;;;;;;;;;;
gravedad_siniestro;Nivel máximo conocido de gravedad de la lesión de la(s) víctima(s) del siniestro en función del tiempo de hospitalización;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Variables;Valores;Descripción;;;;;;;;;
tipo_de_calle;CALLE;Arteria cuya calzada tiene un ancho comprendido entre cinco (5) y trece (13) metros. Inlcluye pasajes.;;;;;;;;;
;AVENIDA;Arteria cuya calzada tiene un ancho total de por lo menos trece (13) metros.;;;;;;;;;
;AUTOPISTA;Vía multicarril con calzadas para ambas manos separadas físicamente, sin cruces a nivel, con accesos controlados y sin ingreso directo desde los predios frentistas lindantes. Incluye AU 25 de mayo, AU Perito Moreno, AU Dellepiane, Av Lugones, Av. Cantilo, AU Frondizi, AU Buenos Aires - La Plata en el tramo que circula dentro de la Ciudad de Buenos Aires y Paseo del Bajo. Incluye ingresos y egresos de las mismas y distribuidores.;;;;;;;;;
;GRAL PAZ;Avenida General Paz, ambos sentidos. Incluye ingresos y egresos de las mismas, distribuidores y calle colectora.;;;;;;;;;
;NULL;Sin datos sobre el tipo de vía sobre el que ocurrió el siniestro.;;;;;;;;;
victima;AUTO;Vehículo a motor destinado al transporte de personas, diferente de los motovehículos, y que tenga hasta nueve plazas (incluyendo al asiento del conductor) (Sedan, SUV, coupe, etc);;;;;;;;;
;SD;Sin datos sobre el tipo de víctima;;;;;;;;;
;PEATON;Víctima distinta de cualquier ocupante de un vehículo, ya sea un conductor/a o un pasajero/a. Se incluyen los ocupantes o personas que empujan o arrastran un coche de bebé o una silla de ruedas o cualquier otro vehículo sin motor de pequeńas dimensiones. Se incluyen también las personas que caminan empujando una bicicleta o un ciclomotor.;;;;;;;;;
;MOTO;Vehículo a motor no carrozado que incluye motocicleta, ciclomotor y cuatriciclo.;;;;;;;;;
;BICICLETA;Vehículo con al menos dos ruedas, que generalmente es accionado por el esfuerzo muscular de las personas que lo ocupan, en particular mediante pedales o manivelas. Incluye bicicletas de pedaleo asistido y/o con motor;;;;;;;;;
;TRANSPORTE PUBLICO;Personas lesionadas que se encuentran dentro, descendiendo o ascendiendo de las unidades de autotrasporte público de pasajeros/as;;;;;;;;;
;UTILITARIO;Vehículo a motor diseńado, exclusiva o principalmente, para el transporte de mercancías que posee una masa máxima autorizada de hasta 3.500kg, (utilitarios, furgonetas, pick-ups, UTILITARIO con caja de carga) ;;;;;;;;;
;MOVIL;Vehículos de emergencia: móviles policiales, ambulancias, autobombas. ;;;;;;;;;
;OTRO;otros vehiculos;;;;;;;;;
;CAMION;Vehículo a motor diseńado, exclusiva o principalmente, para el transporte de mercancías que posee una masa máxima autorizada superior a 3.500kg, (con o sin acoplado o semirremolque, etc.), camión de recolección de residuos. ;;;;;;;;;
;MONOPATIN;Dispositivo de movilidad personal, eléctrico o no;;;;;;;;;
;TAXI;Automóvil de alquiler no sujeto a itinerario predeterminado, sin tarifa prefijada para el recorrido total, usado por ocupación total del vehículo, que no toma o deja pasajeros con boletos, billetes o pagos individuales.;;;;;;;;;
;MIXTO;más de un tipo de usuario/a de la vía víctima;;;;;;;;;
contraparte;SD;Sin datos sobre el tipo de víctima;;;;;;;;;
;CAMION;Vehículo a motor diseńado, exclusiva o principalmente, para el transporte de mercancías que posee una masa máxima autorizada superior a 3.500kg, (con o sin acoplado o semirremolque, etc.), camión de recolección de residuos. ;;;;;;;;;
;AUTO;Vehículo a motor destinado al transporte de personas, diferente de los motovehículos, y que tenga hasta nueve plazas (incluyendo al asiento del conductor) (Sedan, SUV, coupe, etc);;;;;;;;;
;TRANSPORTE PUBLICO;Vehículo a motor destinado al transporte de personas que tenga más de nueve plazas (incluyendo al asiento de quien conduce). Incluye colectivos, microómnibus y ómnibus de corta y larga distancia;;;;;;;;;
;MULTIPLE;cuando participan más de un vehículo como contraparte de la víctima.;;;;;;;;;
;OBJETO FIJO;Colisión contra objetos inmóviles fijados de manera permanente o semipermanente (columna, árbol, semáforo, etc.) o pérdidas de equilibrio de vehículos de dos ruedas que desencadenen la caída de sus ocupantes.;;;;;;;;;
;UTILITARIO;Vehículo a motor diseńado, exclusiva o principalmente, para el transporte de mercancías que posee una masa máxima autorizada de hasta 3.500kg, (utilitarios, furgonetas, pick-ups, UTILITARIO con caja de carga) ;;;;;;;;;
;BICICLETA;Vehículo con al menos dos ruedas, que generalmente es accionado por el esfuerzo muscular de las personas que lo ocupan, en particular mediante pedales o manivelas. Incluye bicicletas de pedaleo asistido y/o con motor;;;;;;;;;
;MOTO;Vehículo a motor no carrozado que incluye motocicleta, ciclomotor y cuatriciclo.;;;;;;;;;
;TREN;Equipo móvil que se desplaza exclusivamente sobre rieles;;;;;;;;;
;MOVIL;Vehículos de emergencia: móviles policiales, ambulancias, autobombas. ;;;;;;;;;
;TAXI;Automóvil de alquiler no sujeto a itinerario predeterminado, sin tarifa prefijada para el recorrido total, usado por ocupación total del vehículo, que no toma o deja pasajeros con boletos, billetes o pagos individuales.;;;;;;;;;
;OTRO;otros vehiculos.;;;;;;;;;
;PEATON;Víctima distinta de cualquier ocupante de un vehículo, ya sea un conductor/a o un pasajero/a. Se incluyen los ocupantes o personas que empujan o arrastran un coche de bebé o una silla de ruedas o cualquier otro vehículo sin motor de pequeńas dimensiones. Se incluyen también las personas que caminan empujando una bicicleta o un ciclomotor.;;;;;;;;;
;MONOPATIN;Dispositivo de movilidad personal, eléctrico o no;;;;;;;;;
gravedad;GRAVE;Toda persona que cuya lesión exige la hospitalización de al menos 24 hs o una atención especializada, como fracturas, conmoción, shock grave y laceraciones importantes.;;;;;;;;;
;MORTAL;Víctima que fallece dentro de los 30 días de producido el siniestro vial por causas directa o indirectamente atribuibles al hecho.;;;;;;;;;
;LEVE;Hechos con una o más personas lesionadas que reciben el alta médica dentro de las 24hs siguientes al siniestro o hechos sin datos sobre la gravedad de las lesiones provocadas.;;;;;;;;;
